tax_id,GeneID,Ensembl_gene_identifier,RNA_nucleotide_accession.version,Ensembl_rna_identifier,protein_accession.version,Ensembl_protein_identifier
105023,107379265,ENSNFUG00015001123,-,-,-,-
105023,107379266,ENSNFUG00015011236,-,-,XP_015805437.1,ENSNFUP00015023244.1
105023,107379267,ENSNFUG00015011263,-,-,-,-
105023,107379269,ENSNFUG00015011303,-,-,-,-
105023,107379272,ENSNFUG00015011396,-,-,-,-
105023,107379273,ENSNFUG00015011943,-,-,-,-
105023,107379274,ENSNFUG00015011952,-,-,-,-
105023,107379276,ENSNFUG00015011967,-,-,-,-
105023,107379279,ENSNFUG00015011987,-,-,XP_015805454.1,ENSNFUP00015024756.1
105023,107379281,ENSNFUG00015012001,-,-,-,-
105023,107379282,ENSNFUG00015012017,-,-,-,-
105023,107379283,ENSNFUG00015012024,-,-,-,-
105023,107379284,ENSNFUG00015012029,-,-,-,-
105023,107379288,ENSNFUG00015012094,-,-,-,-
105023,107379289,ENSNFUG00015012226,-,-,-,-
105023,107379290,ENSNFUG00015012442,-,-,-,-
105023,107379292,ENSNFUG00015001934,-,-,XP_015805477.1,ENSNFUP00015003819.1
105023,107379293,ENSNFUG00015012459,-,-,-,-
105023,107379294,ENSNFUG00015012477,-,-,-,-
105023,107379304,ENSNFUG00015012569,-,-,-,-
105023,107379305,ENSNFUG00015012646,-,-,-,-
105023,107379306,ENSNFUG00015012661,-,-,-,-
105023,107379307,ENSNFUG00015012664,-,-,-,-
105023,107379310,ENSNFUG00015012694,-,-,XP_015805501.1,ENSNFUP00015026186.1
105023,107379314,ENSNFUG00015012726,-,-,XP_015805504.1,ENSNFUP00015026241.1
105023,107379315,ENSNFUG00015012746,-,-,XP_015805505.1,ENSNFUP00015026318.1
105023,107379315,ENSNFUG00015012746,-,-,XP_015805506.1,ENSNFUP00015026298.1
105023,107379315,ENSNFUG00015012746,-,-,XP_015805509.1,ENSNFUP00015026329.1
105023,107379316,ENSNFUG00015012778,-,-,XP_015805511.1,ENSNFUP00015026340.1
105023,107379317,ENSNFUG00015012794,-,-,XP_015805512.1,ENSNFUP00015026381.1
105023,107379320,ENSNFUG00015001956,-,-,XP_015805520.1,ENSNFUP00015003875.1
105023,107379321,ENSNFUG00015012817,-,-,-,-
105023,107379323,ENSNFUG00015013000,-,-,XP_015805521.1,ENSNFUP00015027462.1
105023,107379323,ENSNFUG00015013000,-,-,XP_015805522.1,ENSNFUP00015027482.1
105023,107379324,ENSNFUG00015013000,-,-,XP_015805523.1,ENSNFUP00015034487.1
105023,107379325,ENSNFUG00015016836,-,-,XP_015805524.1,ENSNFUP00015034589.1
105023,107379329,ENSNFUG00015016856,-,-,XP_015805527.1,ENSNFUP00015034610.1
105023,107379330,ENSNFUG00015002003,-,-,XP_015805531.1,ENSNFUP00015003988.1
105023,107379331,ENSNFUG00015016910,-,-,-,-
105023,107379332,ENSNFUG00015018064,-,-,-,-
105023,107379333,ENSNFUG00015020123,-,-,XP_015805532.1,ENSNFUP00015041931.1
105023,107379334,ENSNFUG00015020128,-,-,XP_015805534.1,ENSNFUP00015041941.1
105023,107379335,ENSNFUG00015020131,-,-,XP_015805536.1,ENSNFUP00015041957.1
105023,107379336,ENSNFUG00015020135,-,-,-,-
105023,107379339,ENSNFUG00015020180,-,-,-,-
105023,107379340,ENSNFUG00015020177,-,-,-,-
105023,107379342,ENSNFUG00015020184,-,-,XP_015805544.1,ENSNFUP00015042082.1
105023,107379343,ENSNFUG00015020193,-,-,XP_015805545.1,ENSNFUP00015042098.1
105023,107379345,ENSNFUG00015020196,-,-,-,-
105023,107379346,ENSNFUG00015020200,-,-,XP_015805547.1,ENSNFUP00015042108.1
105023,107379347,ENSNFUG00015020203,-,-,XP_015805548.1,ENSNFUP00015042114.1
105023,107379348,ENSNFUG00015001073,-,-,XP_015805589.1,ENSNFUP00015001953.1
105023,107379350,ENSNFUG00015020230,-,-,-,-
105023,107379351,ENSNFUG00015020894,-,-,-,-
105023,107379352,ENSNFUG00015020891,-,-,-,-
105023,107379353,ENSNFUG00015000154,-,-,XP_015805554.1,ENSNFUP00015000350.1
105023,107379355,ENSNFUG00015000327,-,-,-,-
105023,107379356,ENSNFUG00015000347,-,-,-,-
105023,107379357,ENSNFUG00015002038,-,-,XP_015805566.1,ENSNFUP00015004108.1
105023,107379358,ENSNFUG00015000370,-,-,-,-
105023,107379361,ENSNFUG00015000432,-,-,XP_015805567.1,ENSNFUP00015000769.1
105023,107379362,ENSNFUG00015000488,-,-,XP_015805568.1,ENSNFUP00015000787.1
105023,107379364,ENSNFUG00015000661,-,-,-,-
105023,107379365,ENSNFUG00015000897,-,-,XP_015805571.1,ENSNFUP00015001571.1
105023,107379367,ENSNFUG00015000938,-,-,-,-
105023,107379367,ENSNFUG00015000938,-,-,XP_015805576.1,ENSNFUP00015001906.1
105023,107379368,ENSNFUG00015001054,-,-,XP_015805577.1,ENSNFUP00015001923.1
105023,107379370,ENSNFUG00015001069,-,-,-,-
105023,107379371,ENSNFUG00015001077,-,-,XP_015805580.1,ENSNFUP00015001961.1
105023,107379372,ENSNFUG00015001090,-,-,XP_015805581.1,ENSNFUP00015001991.1
105023,107379372,ENSNFUG00015001090,-,-,XP_015805582.1,ENSNFUP00015001986.1
105023,107379373,ENSNFUG00015002103,-,-,XP_015805585.1,ENSNFUP00015004204.1
105023,107379374,ENSNFUG00015001097,-,-,XP_015805583.1,ENSNFUP00015001999.1
105023,107379375,ENSNFUG00015001103,-,-,XP_015805584.1,ENSNFUP00015002016.1
105023,107379377,ENSNFUG00015001119,-,-,XP_015805587.1,ENSNFUP00015002039.1
105023,107379378,ENSNFUG00015001177,-,-,XP_015805588.1,ENSNFUP00015002553.1
105023,107379379,ENSNFUG00015001344,-,-,XP_015805591.1,ENSNFUP00015002612.1
105023,107379380,ENSNFUG00015001347,-,-,XP_015805592.1,ENSNFUP00015002619.1
105023,107379381,ENSNFUG00015002143,-,-,XP_015805597.1,ENSNFUP00015004302.1
105023,107379383,ENSNFUG00015001356,-,-,XP_015805593.1,ENSNFUP00015002651.1
105023,107379383,ENSNFUG00015001356,-,-,XP_015805594.1,ENSNFUP00015002678.1
105023,107379383,ENSNFUG00015001356,-,-,XP_015805596.1,ENSNFUP00015002663.1
105023,107379384,ENSNFUG00015001376,-,-,XP_015805598.1,ENSNFUP00015002687.1
105023,107379385,ENSNFUG00015001382,-,-,XP_015805599.1,ENSNFUP00015002697.1
105023,107379386,ENSNFUG00015001391,-,-,XP_015805600.1,ENSNFUP00015002714.1
105023,107379387,ENSNFUG00015001385,-,-,XP_015805602.1,ENSNFUP00015002704.1
105023,107379388,ENSNFUG00015001403,-,-,XP_015805603.1,ENSNFUP00015002777.1
105023,107379388,ENSNFUG00015001403,-,-,XP_015805604.1,ENSNFUP00015002792.1
105023,107379388,ENSNFUG00015001403,-,-,XP_015805606.1,ENSNFUP00015002768.1
105023,107379388,ENSNFUG00015001403,-,-,XP_015805607.1,ENSNFUP00015002785.1
105023,107379391,ENSNFUG00015001434,-,-,XP_015805608.1,ENSNFUP00015002829.1
105023,107379392,ENSNFUG00015001446,-,-,-,-
105023,107379393,ENSNFUG00015001473,-,-,XP_015805613.1,ENSNFUP00015002901.1
105023,107379394,ENSNFUG00015001480,-,-,XP_015805614.1,ENSNFUP00015002907.1
105023,107379395,ENSNFUG00015001509,-,-,-,-
105023,107379396,ENSNFUG00015001487,-,-,-,-
105023,107379397,ENSNFUG00015001503,-,-,XP_015805619.1,ENSNFUP00015002936.1
105023,107379398,ENSNFUG00015001521,-,-,XP_015805620.1,ENSNFUP00015002962.1
105023,107379399,ENSNFUG00015001518,-,-,XP_015805621.1,ENSNFUP00015002953.1
105023,107379408,ENSNFUG00015001533,-,-,XP_015805625.1,ENSNFUP00015003005.1
105023,107379409,ENSNFUG00015001540,-,-,-,-
105023,107379410,ENSNFUG00015001554,-,-,XP_015805627.1,ENSNFUP00015003037.1
105023,107379411,ENSNFUG00015002237,-,-,XP_015805631.1,ENSNFUP00015004438.1
105023,107379412,ENSNFUG00015001566,-,-,XP_015805628.1,ENSNFUP00015003058.1
105023,107379414,ENSNFUG00015001585,-,-,XP_015805630.1,ENSNFUP00015003076.1
105023,107379415,ENSNFUG00015001591,-,-,-,-
105023,107379416,ENSNFUG00015001596,-,-,-,-
105023,107379418,ENSNFUG00015001637,-,-,XP_015805635.1,ENSNFUP00015003179.1
105023,107379419,ENSNFUG00015001658,-,-,XP_015805637.1,ENSNFUP00015003271.1
105023,107379420,ENSNFUG00015001699,-,-,-,-
105023,107379422,ENSNFUG00015001710,-,-,-,-
105023,107379424,ENSNFUG00015001780,-,-,XP_015805644.1,ENSNFUP00015003493.1
105023,107379426,ENSNFUG00015001800,-,-,XP_015805651.1,ENSNFUP00015003528.1
105023,107379428,ENSNFUG00015001802,-,-,-,-
105023,107379430,ENSNFUG00015001819,-,-,XP_015805658.1,ENSNFUP00015003599.1
105023,107379432,ENSNFUG00015001827,-,-,-,-
105023,107379435,ENSNFUG00015002545,-,-,XP_015805671.1,ENSNFUP00015007936.1
105023,107379436,ENSNFUG00015002096,-,-,XP_015805668.1,ENSNFUP00015004174.1
105023,107379436,ENSNFUG00015002096,-,-,XP_015805670.1,ENSNFUP00015004180.1
105023,107379440,ENSNFUG00015002131,-,-,-,-
105023,107379441,ENSNFUG00015002147,-,-,XP_015805680.1,ENSNFUP00015004274.1
105023,107379442,ENSNFUG00015002121,-,-,XP_015805682.1,ENSNFUP00015004220.1
105023,107379443,ENSNFUG00015002195,-,-,-,-
105023,107379444,ENSNFUG00015002287,-,-,-,-
105023,107379445,ENSNFUG00015002376,-,-,XP_015805687.1,ENSNFUP00015005247.1
105023,107379446,ENSNFUG00015002677,-,-,-,-
105023,107379454,ENSNFUG00015002713,-,-,XP_015805699.1,ENSNFUP00015005404.1
105023,107379456,ENSNFUG00015000190,-,-,-,-
105023,107379458,ENSNFUG00015000267,-,-,XP_015805704.1,ENSNFUP00015000329.1
105023,107379461,ENSNFUG00015000413,-,-,-,-
105023,107379462,ENSNFUG00015000563,-,-,XP_015805712.1,ENSNFUP00015000935.1
105023,107379463,ENSNFUG00015000579,-,-,XP_015805713.1,ENSNFUP00015000950.1
105023,107379465,ENSNFUG00015003941,-,-,XP_015805717.1,ENSNFUP00015008034.1
105023,107379466,ENSNFUG00015000748,-,-,XP_015805714.1,ENSNFUP00015001850.1
105023,107379466,ENSNFUG00015000748,-,-,XP_015805715.1,ENSNFUP00015001770.1
105023,107379468,ENSNFUG00015001061,-,-,-,-
105023,107379469,ENSNFUG00015001066,-,-,-,-
105023,107379470,ENSNFUG00015001071,-,-,XP_015805722.1,ENSNFUP00015001951.1
105023,107379471,ENSNFUG00015001139,-,-,-,-
105023,107379472,ENSNFUG00015001313,-,-,XP_015805725.1,ENSNFUP00015002542.1
105023,107379472,ENSNFUG00015001313,-,-,XP_015805726.1,ENSNFUP00015002529.1
105023,107379474,ENSNFUG00015001088,-,-,-,-
105023,107379475,ENSNFUG00015001327,-,-,-,-
105023,107379478,ENSNFUG00015001432,-,-,XP_015805732.1,ENSNFUP00015003331.1
105023,107379478,ENSNFUG00015001432,-,-,XP_015805733.1,ENSNFUP00015003357.1
105023,107379483,ENSNFUG00015001787,-,-,XP_015805739.1,ENSNFUP00015003514.1
105023,107379485,ENSNFUG00015011568,-,-,-,-
105023,107379487,ENSNFUG00015001803,-,-,-,-
105023,107379490,ENSNFUG00015002276,-,-,-,-
105023,107379491,ENSNFUG00015001967,-,-,XP_015805752.1,ENSNFUP00015004163.1
105023,107379491,ENSNFUG00015001967,-,-,XP_015805753.1,ENSNFUP00015004172.1
105023,107379492,ENSNFUG00015002211,-,-,XP_015805754.1,ENSNFUP00015004466.1
105023,107379493,ENSNFUG00015002153,-,-,XP_015805756.1,ENSNFUP00015004332.1
105023,107379498,ENSNFUG00015002314,-,-,-,-
105023,107379499,ENSNFUG00015002349,-,-,-,-
105023,107379500,ENSNFUG00015002582,-,-,-,-
105023,107379501,ENSNFUG00015002595,-,-,-,-
105023,107379503,ENSNFUG00015003957,-,-,XP_015805774.1,ENSNFUP00015008096.1
105023,107379504,ENSNFUG00015002686,-,-,-,-
105023,107379505,ENSNFUG00015002697,-,-,XP_015805772.1,ENSNFUP00015005373.1
105023,107379511,ENSNFUG00015002749,-,-,-,-
105023,107379512,ENSNFUG00015002760,-,-,XP_015805779.1,ENSNFUP00015005574.1
105023,107379513,ENSNFUG00015002814,-,-,-,-
105023,107379515,ENSNFUG00015002902,-,-,XP_015805781.1,ENSNFUP00015006149.1
105023,107379515,ENSNFUG00015002902,-,-,XP_015805782.1,ENSNFUP00015006183.1
105023,107379524,ENSNFUG00015003168,-,-,XP_015805800.1,ENSNFUP00015006333.1
105023,107379525,ENSNFUG00015003164,-,-,-,-
105023,107379527,ENSNFUG00015003157,-,-,XP_015805802.1,ENSNFUP00015006319.1
105023,107379528,ENSNFUG00015003173,-,-,XP_015805803.1,ENSNFUP00015006342.1
105023,107379529,ENSNFUG00015003180,-,-,XP_015805804.1,ENSNFUP00015006353.1
105023,107379530,ENSNFUG00015003185,-,-,XP_015805807.1,ENSNFUP00015006367.1
105023,107379536,ENSNFUG00015004023,-,-,XP_015805816.1,ENSNFUP00015008533.1
105023,107379544,ENSNFUG00015003187,-,-,-,-
105023,107379545,ENSNFUG00015003193,-,-,-,-
105023,107379548,ENSNFUG00015014371,-,-,-,-
105023,107379550,ENSNFUG00015014209,-,-,XP_015805828.1,ENSNFUP00015029256.1
105023,107379551,ENSNFUG00015014391,-,-,XP_015805829.1,ENSNFUP00015029630.1
105023,107379553,ENSNFUG00015014789,-,-,-,-
105023,107379555,ENSNFUG00015014836,-,-,-,-
105023,107379556,ENSNFUG00015014872,-,-,XP_015805833.1,ENSNFUP00015031393.1
105023,107379561,ENSNFUG00015015437,-,-,XP_015805842.1,ENSNFUP00015031611.1
105023,107379564,ENSNFUG00015015487,-,-,XP_015805845.1,ENSNFUP00015031741.1
105023,107379566,ENSNFUG00015015577,-,-,XP_015805847.1,ENSNFUP00015031868.1
105023,107379569,ENSNFUG00015015775,-,-,XP_015805851.1,ENSNFUP00015032203.1
105023,107379570,ENSNFUG00015015789,-,-,XP_015805853.1,ENSNFUP00015032319.1
105023,107379572,ENSNFUG00015020517,-,-,XP_015805856.1,ENSNFUP00015042838.1
105023,107379576,ENSNFUG00015020525,-,-,XP_015805860.1,ENSNFUP00015042858.1
105023,107379579,ENSNFUG00015020531,-,-,-,-
105023,107379580,ENSNFUG00015020543,-,-,XP_015805872.1,ENSNFUP00015042907.1
105023,107379581,ENSNFUG00015020567,-,-,-,-
105023,107379583,ENSNFUG00015004210,-,-,XP_015805896.1,ENSNFUP00015008661.1
105023,107379585,ENSNFUG00015020860,-,-,-,-
105023,107379587,ENSNFUG00015021802,-,-,-,-
105023,107379588,ENSNFUG00015022032,-,-,XP_015805882.1,ENSNFUP00015046465.1
105023,107379589,ENSNFUG00015022075,-,-,-,-
105023,107379590,ENSNFUG00015022122,-,-,-,-
105023,107379591,ENSNFUG00015022042,-,-,XP_015805889.1,ENSNFUP00015046477.1
105023,107379594,ENSNFUG00015022132,-,-,XP_015805899.1,ENSNFUP00015046699.1
105023,107379595,ENSNFUG00015022142,-,-,-,-
105023,107379596,ENSNFUG00015022144,-,-,-,-
105023,107379598,ENSNFUG00015022149,-,-,XP_015805904.1,ENSNFUP00015046799.1
105023,107379599,ENSNFUG00015022170,-,-,-,-
105023,107379600,ENSNFUG00015022194,-,-,-,-
105023,107379603,ENSNFUG00015022568,-,-,-,-
105023,107379604,ENSNFUG00015004254,-,-,-,-
105023,107379606,ENSNFUG00015022571,-,-,XP_015805914.1,ENSNFUP00015047817.1
105023,107379607,ENSNFUG00015022578,-,-,-,-
105023,107379608,ENSNFUG00015008989,-,-,-,-
105023,107379609,ENSNFUG00015009008,-,-,XP_015805918.1,ENSNFUP00015018820.1
105023,107379610,ENSNFUG00015009039,-,-,XP_015805920.1,ENSNFUP00015018849.1
105023,107379613,ENSNFUG00015012239,-,-,-,-
105023,107379614,ENSNFUG00015012300,-,-,XP_015805928.1,ENSNFUP00015025434.1
105023,107379615,ENSNFUG00015012274,-,-,XP_015805929.1,ENSNFUP00015025420.1
105023,107379616,ENSNFUG00015012302,-,-,XP_015805932.1,ENSNFUP00015025441.1
105023,107379617,ENSNFUG00015012311,-,-,XP_015805933.1,ENSNFUP00015025467.1
105023,107379618,ENSNFUG00015012317,-,-,-,-
105023,107379619,ENSNFUG00015012333,-,-,-,-
105023,107379620,ENSNFUG00015012348,-,-,-,-
105023,107379621,ENSNFUG00015012342,-,-,-,-
105023,107379622,ENSNFUG00015012366,-,-,XP_015805944.1,ENSNFUP00015025723.1
105023,107379624,ENSNFUG00015012538,-,-,-,-
105023,107379626,ENSNFUG00015013080,-,-,-,-
105023,107379628,ENSNFUG00015013113,-,-,XP_015805951.1,ENSNFUP00015027302.1
105023,107379631,ENSNFUG00015013255,-,-,-,-
105023,107379633,ENSNFUG00015013273,-,-,-,-
105023,107379634,ENSNFUG00015013634,-,-,-,-
105023,107379636,ENSNFUG00015014645,-,-,XP_015805963.1,ENSNFUP00015030212.1
105023,107379637,ENSNFUG00015004350,-,-,XP_015805967.1,ENSNFUP00015008935.1
105023,107379638,ENSNFUG00015014756,-,-,-,-
105023,107379640,ENSNFUG00015014901,-,-,-,-
105023,107379642,ENSNFUG00015015008,-,-,XP_015805972.1,ENSNFUP00015030749.1
105023,107379643,ENSNFUG00015015061,-,-,-,-
105023,107379647,ENSNFUG00015015689,-,-,-,-
105023,107379648,ENSNFUG00015015721,-,-,XP_015805978.1,ENSNFUP00015032163.1
105023,107379649,ENSNFUG00015001011,-,-,XP_015806019.1,ENSNFUP00015001908.1
105023,107379651,ENSNFUG00015016326,-,-,-,-
105023,107379652,ENSNFUG00015015767,-,-,-,-
105023,107379657,ENSNFUG00015017157,-,-,XP_015805991.1,ENSNFUP00015035297.1
105023,107379658,ENSNFUG00015017177,-,-,-,-
105023,107379659,ENSNFUG00015017418,-,-,XP_015805995.1,ENSNFUP00015035939.1
105023,107379661,ENSNFUG00015017440,-,-,-,-
105023,107379664,ENSNFUG00015017515,-,-,XP_015806003.1,ENSNFUP00015036132.1
105023,107379673,ENSNFUG00015003265,-,-,-,-
105023,107379674,ENSNFUG00015003253,-,-,XP_015806018.1,ENSNFUP00015006529.1
105023,107379675,ENSNFUG00015003314,-,-,-,-
105023,107379679,ENSNFUG00015003379,-,-,-,-
105023,107379681,ENSNFUG00015003384,-,-,XP_015806029.1,ENSNFUP00015006839.1
105023,107379682,ENSNFUG00015003414,-,-,XP_015806030.1,ENSNFUP00015006918.1
105023,107379685,ENSNFUG00015003490,-,-,XP_015806033.1,ENSNFUP00015007050.1
105023,107379685,ENSNFUG00015003490,-,-,XP_015806035.1,ENSNFUP00015007052.1
105023,107379685,ENSNFUG00015003490,-,-,XP_015806036.1,ENSNFUP00015007054.1
105023,107379687,ENSNFUG00015003507,-,-,-,-
105023,107379688,ENSNFUG00015003512,-,-,XP_015806042.1,ENSNFUP00015007080.1
105023,107379691,ENSNFUG00015004628,-,-,XP_015806049.1,ENSNFUP00015009524.1
105023,107379693,ENSNFUG00015009124,-,-,XP_015806048.1,ENSNFUP00015018982.1
105023,107379694,ENSNFUG00015009089,-,-,-,-
105023,107379695,ENSNFUG00015009076,-,-,XP_015806055.1,ENSNFUP00015018898.1
105023,107379696,ENSNFUG00015009197,-,-,XP_015806056.1,ENSNFUP00015019267.1
105023,107379700,ENSNFUG00015009520,-,-,-,-
105023,107379701,ENSNFUG00015010707,-,-,-,-
105023,107379703,ENSNFUG00015010744,-,-,-,-
105023,107379707,ENSNFUG00015011008,-,-,-,-
105023,107379708,ENSNFUG00015011254,-,-,XP_015806083.1,ENSNFUP00015028657.1
105023,107379711,ENSNFUG00015013986,-,-,-,-
105023,107379713,ENSNFUG00015014001,-,-,XP_015806087.1,ENSNFUP00015028940.1
105023,107379715,ENSNFUG00015014194,-,-,-,-
105023,107379716,ENSNFUG00015014020,-,-,-,-
105023,107379719,ENSNFUG00015011182,-,-,-,-
105023,107379720,ENSNFUG00015012130,-,-,-,-
105023,107379722,ENSNFUG00015011215,-,-,-,-
105023,107379723,ENSNFUG00015000986,-,-,-,-
105023,107379724,ENSNFUG00015009625,-,-,-,-
105023,107379725,ENSNFUG00015011434,-,-,-,-
105023,107379727,ENSNFUG00015011830,-,-,-,-
105023,107379728,ENSNFUG00015004858,-,-,XP_015806113.1,ENSNFUP00015009898.1
105023,107379729,ENSNFUG00015010554,-,-,-,-
105023,107379730,ENSNFUG00015011781,-,-,XP_015806110.1,ENSNFUP00015024362.1
105023,107379730,ENSNFUG00015011781,-,-,XP_015806112.1,ENSNFUP00015024375.1
105023,107379732,ENSNFUG00015012176,-,-,XP_015806117.1,ENSNFUP00015025248.1
105023,107379732,ENSNFUG00015012176,-,-,XP_015806118.1,ENSNFUP00015025253.1
105023,107379733,ENSNFUG00015010674,-,-,XP_015806121.1,ENSNFUP00015022331.1
105023,107379734,ENSNFUG00015004961,-,-,XP_015806126.1,ENSNFUP00015010086.1
105023,107379735,ENSNFUG00015011912,-,-,XP_015806122.1,ENSNFUP00015024992.1
105023,107379736,ENSNFUG00015010546,-,-,-,-
105023,107379738,ENSNFUG00015010644,-,-,-,-
105023,107379739,ENSNFUG00015010629,-,-,-,-
105023,107379740,ENSNFUG00015011707,-,-,XP_015806129.1,ENSNFUP00015024301.1
105023,107379741,ENSNFUG00015011807,-,-,XP_015806130.1,ENSNFUP00015024410.1
105023,107379742,ENSNFUG00015010860,-,-,XP_015806131.1,ENSNFUP00015022927.1
105023,107379743,ENSNFUG00015010534,-,-,-,-
105023,107379744,ENSNFUG00015011403,-,-,-,-
105023,107379747,ENSNFUG00015011773,-,-,XP_015806140.1,ENSNFUP00015024344.1
105023,107379748,ENSNFUG00015011821,-,-,XP_015806141.1,ENSNFUP00015024423.1
105023,107379749,ENSNFUG00015012126,-,-,XP_015806144.1,ENSNFUP00015025107.1
105023,107379750,ENSNFUG00015010606,-,-,XP_015806145.1,ENSNFUP00015021858.1
105023,107379751,ENSNFUG00015012142,-,-,XP_015806146.1,ENSNFUP00015025141.1
105023,107379752,ENSNFUG00015010594,-,-,-,-
105023,107379754,ENSNFUG00015012120,-,-,-,-
105023,107379757,ENSNFUG00015011800,-,-,XP_015806152.1,ENSNFUP00015024397.1
105023,107379760,ENSNFUG00015012228,-,-,XP_015806153.1,ENSNFUP00015025290.1
105023,107379762,ENSNFUG00015008411,-,-,XP_015806154.1,ENSNFUP00015017616.1
105023,107379763,ENSNFUG00015008418,-,-,XP_015806156.1,ENSNFUP00015017629.1
105023,107379765,ENSNFUG00015008427,-,-,XP_015806159.1,ENSNFUP00015017644.1
105023,107379766,ENSNFUG00015008441,-,-,XP_015806160.1,ENSNFUP00015017664.1
105023,107379769,ENSNFUG00015008458,-,-,XP_015806164.1,ENSNFUP00015017698.1
105023,107379773,ENSNFUG00015008507,-,-,XP_015806172.1,ENSNFUP00015017861.1
105023,107379774,ENSNFUG00015008538,-,-,XP_015806173.1,ENSNFUP00015017868.1
105023,107379779,ENSNFUG00015004977,-,-,XP_015806181.1,ENSNFUP00015010172.1
105023,107379781,ENSNFUG00015008585,-,-,XP_015806179.1,ENSNFUP00015017992.1
105023,107379782,ENSNFUG00015008637,-,-,XP_015806183.1,ENSNFUP00015019564.1
105023,107379783,ENSNFUG00015009734,-,-,XP_015806184.1,ENSNFUP00015020133.1
105023,107379789,ENSNFUG00015005099,-,-,XP_015806193.1,ENSNFUP00015010998.1
105023,107379789,ENSNFUG00015005099,-,-,XP_015806200.1,ENSNFUP00015011013.1
105023,107379789,ENSNFUG00015005099,-,-,XP_015806208.1,ENSNFUP00015011034.1
105023,107379789,ENSNFUG00015005099,-,-,XP_015806216.1,ENSNFUP00015011051.1
105023,107379789,ENSNFUG00015005099,-,-,XP_015806224.1,ENSNFUP00015011065.1
105023,107379796,ENSNFUG00015010227,-,-,XP_015806199.1,ENSNFUP00015021050.1
105023,107379800,ENSNFUG00015010277,-,-,-,-
105023,107379801,ENSNFUG00015010293,-,-,XP_015806206.1,ENSNFUP00015021202.1
105023,107379806,ENSNFUG00015010423,-,-,XP_015806212.1,ENSNFUP00015021455.1
105023,107379807,ENSNFUG00015010462,-,-,XP_015806214.1,ENSNFUP00015022157.1
105023,107379808,ENSNFUG00015010901,-,-,XP_015806217.1,ENSNFUP00015022537.1
105023,107379811,ENSNFUG00015010931,-,-,XP_015806220.1,ENSNFUP00015022596.1
105023,107379821,ENSNFUG00015011121,-,-,XP_015806233.1,ENSNFUP00015023385.1
105023,107379822,ENSNFUG00015011346,-,-,XP_015806239.1,ENSNFUP00015023642.1
105023,107379824,ENSNFUG00015005518,-,-,XP_015806245.1,ENSNFUP00015011224.1
105023,107379824,ENSNFUG00015005518,-,-,XP_015806256.1,ENSNFUP00015011239.1
105023,107379826,ENSNFUG00015011928,-,-,XP_015806242.1,ENSNFUP00015024694.1
105023,107379829,ENSNFUG00015013709,-,-,XP_015806258.1,ENSNFUP00015029792.1
105023,107379830,ENSNFUG00015013477,-,-,XP_015806261.1,ENSNFUP00015028152.1
105023,107379831,ENSNFUG00015014603,-,-,XP_015806262.1,ENSNFUP00015030009.1
105023,107379832,ENSNFUG00015014641,-,-,XP_015806264.1,ENSNFUP00015030231.1
105023,107379833,ENSNFUG00015005500,-,-,-,-
105023,107379836,ENSNFUG00015014923,-,-,XP_015806271.1,ENSNFUP00015030828.1
105023,107379839,ENSNFUG00015015062,-,-,XP_015806275.1,ENSNFUP00015030869.1
105023,107379842,ENSNFUG00015015649,-,-,XP_015806279.1,ENSNFUP00015032038.1
105023,107379844,ENSNFUG00015015735,-,-,XP_015806281.1,ENSNFUP00015032125.1
105023,107379850,ENSNFUG00015015845,-,-,-,-
105023,107379853,ENSNFUG00015015881,-,-,XP_015806290.1,ENSNFUP00015032413.1
105023,107379856,ENSNFUG00015000168,-,-,XP_015806306.1,ENSNFUP00015000193.1
105023,107379859,ENSNFUG00015015962,-,-,XP_015806297.1,ENSNFUP00015032740.1
105023,107379865,ENSNFUG00015000256,-,-,XP_015806305.1,ENSNFUP00015000705.1
105023,107379866,ENSNFUG00015000469,-,-,XP_015806307.1,ENSNFUP00015000741.1
105023,107379871,ENSNFUG00015000610,-,-,XP_015806312.1,ENSNFUP00015001347.1
105023,107379872,ENSNFUG00015000811,-,-,XP_015806314.1,ENSNFUP00015001391.1
105023,107379877,ENSNFUG00015000835,-,-,XP_015806319.1,ENSNFUP00015001454.1
105023,107379878,ENSNFUG00015000866,-,-,XP_015806320.1,ENSNFUP00015001509.1
105023,107379879,ENSNFUG00015000201,-,-,XP_015806325.1,ENSNFUP00015000231.1
105023,107379880,ENSNFUG00015000847,-,-,XP_015806321.1,ENSNFUP00015001491.1
105023,107379881,ENSNFUG00015000875,-,-,XP_015806323.1,ENSNFUP00015001532.1
105023,107379887,ENSNFUG00015000901,-,-,XP_015806332.1,ENSNFUP00015001586.1
105023,107379888,ENSNFUG00015000514,-,-,XP_015806336.1,ENSNFUP00015002048.1
105023,107379888,ENSNFUG00015000514,-,-,XP_015806348.1,ENSNFUP00015002002.1
105023,107379888,ENSNFUG00015000514,-,-,XP_015806355.1,ENSNFUP00015001818.1
105023,107379890,ENSNFUG00015000918,-,-,-,-
105023,107379899,ENSNFUG00015001793,-,-,XP_015806342.1,ENSNFUP00015003526.1
105023,107379899,ENSNFUG00015001793,-,-,XP_015806343.1,ENSNFUP00015003519.1
105023,107379902,ENSNFUG00015001793,-,-,XP_015806346.1,ENSNFUP00015003533.1
